SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,EVI,NBR,NDMI,NDWI,NDBI,NDBaI,elevation,classvalue,sample
11648.0,12931.0,13931.0,14481.0,14516.0,14018.0,0.12840866641763168,0.01624618407663427,-0.0012070214160085527,-0.05654457901648913,0.0012070214160085527,0.017452863250858625,1001,1,train
11630.0,13073.0,13582.0,14613.0,14789.0,14018.0,0.2902263258642045,0.02078167021759631,-0.00598598734779947,-0.05562378097233259,0.00598598734779947,0.026764328114694345,1002,1,train
11228.0,12359.0,12885.0,13683.0,13515.0,13233.0,0.2940742924528302,0.01671868033883192,0.006176924773880432,-0.05084094923584978,-0.006176924773880432,0.010542844324809331,999,1,train
11227.0,12358.0,13117.0,14082.0,13788.0,13233.0,0.2810952519662103,0.031081823174080175,0.01054897739504844,-0.06520423600605144,-0.01054897739504844,0.02053958032641279,1000,1,train
11265.0,12497.0,13001.0,14481.0,14516.0,13757.0,0.4624710955565277,0.02563920957574899,-0.0012070214160085527,-0.07354140410705019,0.0012070214160085527,0.026845400205142717,1001,1,train
11439.0,12622.0,13350.0,14215.0,13879.0,13583.0,0.25371033026338946,0.02273544859342399,0.011959849078094966,-0.05935834854864553,-0.011959849078094966,0.010778530332823538,1000,1,train
11227.0,12358.0,13117.0,14082.0,13788.0,13233.0,0.2810952519662103,0.031081823174080175,0.01054897739504844,-0.06520423600605144,-0.01054897739504844,0.02053958032641279,1000,1,train
11166.0,11927.0,12418.0,13950.0,13515.0,12972.0,0.8124734832414086,0.03632716737240918,0.015838339705079193,-0.07817753217142637,-0.015838339705079193,0.02050062294710613,1002,1,train
11390.0,12501.0,13234.0,14348.0,14334.0,13626.0,0.3344140249759846,0.025809680417530564,4.881110103897915E-4,-0.0687921337852434,-4.881110103897915E-4,0.025321888412017168,1003,1,train
11752.0,12501.0,13001.0,13816.0,14244.0,13887.0,0.5532174857453164,-0.002562899324982854,-0.015253029223093371,-0.04996770148573166,0.015253029223093371,0.012690625999786712,1002,1,train
11649.0,12931.0,13699.0,14082.0,14334.0,13757.0,0.10746955496941467,0.0116742699091203,-0.008868243243243243,-0.04260911413023359,0.008868243243243243,0.020540386600690613,1002,1,train
11433.0,12501.0,13117.0,14082.0,14152.0,13496.0,0.3428063943161634,0.02124882152440351,-0.002479280300347099,-0.05947409998871459,0.002479280300347099,0.023726851851851853,1002,1,train
11970.0,13464.0,14208.0,15137.0,15238.0,14392.0,0.21887663745170108,0.02522943547021572,-0.0033251028806584363,-0.05849445823572602,0.0033251028806584363,0.02855214309821127,938,1,train
11941.0,13464.0,14313.0,15332.0,15158.0,14392.0,0.2186038529197237,0.03162427667877809,0.005706789111183995,-0.06487012085011808,-0.005706789111183995,0.025922165820642978,938,1,train
11875.0,13361.0,14277.0,15004.0,14736.0,14337.0,0.15662027661682967,0.022732694863842405,0.009011432414256892,-0.05792349726775956,-0.009011432414256892,0.013724073882984212,937,1,train
11875.0,13361.0,14277.0,15004.0,14736.0,14337.0,0.15662027661682967,0.022732694863842405,0.009011432414256892,-0.05792349726775956,-0.009011432414256892,0.013724073882984212,938,1,train
11495.0,12814.0,13452.0,15004.0,14329.0,13516.0,0.4082276816244937,0.05217391304347826,0.023011625132103773,-0.07872600474512906,-0.023011625132103773,0.029197342431316213,938,1,train
11738.0,13203.0,13894.0,15270.0,14875.0,14013.0,0.32452830188679244,0.042925929720315545,0.01310333388621662,-0.07259509008534401,-0.01310333388621662,0.029839379673220714,938,1,train
11817.0,13082.0,13985.0,14675.0,14917.0,14158.0,0.1732188582617864,0.017930843131134463,-0.008177885915112192,-0.057390928414454014,0.008177885915112192,0.026104901117798795,938,1,train
11809.0,13346.0,14096.0,14872.0,14917.0,14287.0,0.1782842439001976,0.020062416406598307,-0.0015106247272483131,-0.054078956694308594,0.0015106247272483131,0.021572387344199424,937,1,train
11909.0,13346.0,14209.0,14872.0,15329.0,14536.0,0.153337342152736,0.011425462459194777,-0.015131949273202874,-0.054078956694308594,0.015131949273202874,0.02655282102795915,937,1,train
11909.0,13346.0,14209.0,14872.0,15329.0,14536.0,0.153337342152736,0.011425462459194777,-0.015131949273202874,-0.054078956694308594,0.015131949273202874,0.02655282102795915,937,1,train
11555.0,13206.0,13893.0,14806.0,15057.0,14271.0,0.19843512279939143,0.018399422223750732,-0.00840504972708703,-0.0571183778380694,0.00840504972708703,0.026800327332242226,937,1,train
11930.0,13078.0,13999.0,14872.0,14693.0,14013.0,0.23237862010221466,0.029738618660204257,0.006054456282766785,-0.0641860465116279,-0.006054456282766785,0.023688427506444645,938,1,train
12074.0,13572.0,14320.0,15201.0,15324.0,14672.0,0.2084319106652787,0.017708298463495465,-0.00402948402948403,-0.05661557710353456,0.00402948402948403,0.021736231497533006,938,1,train
11970.0,13464.0,14209.0,15070.0,15238.0,14456.0,0.20402843601895734,0.020795231321547113,-0.005543090933086974,-0.05628373168851195,0.005543090933086974,0.02633528658988348,938,1,train
12055.0,13629.0,14287.0,15137.0,15194.0,14405.0,0.20339794209140943,0.024778281768329836,-0.0018792654380007253,-0.05242299937426128,0.0018792654380007253,0.02665630595628231,938,1,train
12055.0,13629.0,14287.0,15137.0,15194.0,14405.0,0.20339794209140943,0.024778281768329836,-0.0018792654380007253,-0.05242299937426128,0.0018792654380007253,0.02665630595628231,937,1,train
12117.0,13612.0,14480.0,15270.0,15238.0,14405.0,0.17518960393843971,0.02914911541701769,0.0010489052051920807,-0.05740599681462503,-0.0010489052051920807,0.028101069392436662,938,1,train
11902.0,13361.0,14174.0,14872.0,14917.0,14287.0,0.163819001126549,0.020062416406598307,-0.0015106247272483131,-0.05351893174653774,0.0015106247272483131,0.021572387344199424,938,1,train
12117.0,13494.0,14320.0,15201.0,15097.0,14287.0,0.2149934110986383,0.030995659251220834,0.0034325698065878936,-0.05948771562990068,-0.0034325698065878936,0.027566022325074872,940,1,train
12091.0,13736.0,14419.0,15332.0,15057.0,14514.0,0.20444265305208473,0.027407357769885413,0.00904932705913324,-0.05490573826888675,-0.00904932705913324,0.01836258496499949,941,1,train
11973.0,13703.0,14291.0,15070.0,15057.0,14405.0,0.1767321566314261,0.022561492790500424,4.3150662196700634E-4,-0.047509818232370625,-4.3150662196700634E-4,0.022130201615640485,940,1,train
11809.0,13449.0,13873.0,15137.0,14875.0,14013.0,0.3221695468216343,0.03855917667238422,0.008729841396774624,-0.05904988455887497,-0.008729841396774624,0.029839379673220714,940,1,train
12304.0,13915.0,14734.0,15858.0,15964.0,14757.0,0.23449887340398898,0.03596276335129838,-0.0033310288479668155,-0.0652604708964498,0.0033310288479668155,0.03928908564174343,942,1,train
11993.0,13630.0,14419.0,15270.0,15279.0,14544.0,0.17972544878563887,0.02435097605151942,-2.946086614946479E-4,-0.05674740484429066,2.946086614946479E-4,0.02464540790664923,940,1,train
11879.0,13464.0,14073.0,15402.0,15007.0,14158.0,0.3091128994743453,0.04208389715832206,0.012989575454635142,-0.06713780918727916,-0.012989575454635142,0.029110234870564033,939,1,train
11675.0,13036.0,13650.0,15169.0,14602.0,13745.0,0.39942150933473575,0.049249498512831155,0.019045379731953915,-0.07562488920404184,-0.019045379731953915,0.030232476099763643,940,1,train
